Date,Open,High,Low,Close,Adj Close,Volume,Close_1,Close_inc,Volume_1,Volume_inc,MA5,MA5_1,MA5_inc,EMA5,MA10,MA10_1,MA10_inc,EMA10,MA20,MA20_1,MA20_inc,EMA20,RSI12,OBV,ROC5,ROC10,ROC20,MACD,MACDsignal,MACDhist,STOCHk3,STOCHd3,CCI10,ATR14,BBM20,BBU20,BBL20,MOM10
2020-03-17,133.53993,140.69386,128.77065,139.80678,139.80678,81059800,129.17123,10.635544,87905900.0,-6846100.0,139.93268,142.67024,-2.7375703,140.68793,147.22205,148.93326,-1.7112167,145.65453,155.49533,157.41019,-1.9148651,152.2055,44.130154,-27358800.0,-8.917479,-10.9051,-21.502766,-6.9959707,-4.7341075,-2.2618632,42.995296,43.784714,-98.353134,11.934788,155.49533,181.34807,129.64258,-17.112167
2020-03-18,131.63223,139.26308,128.78973,133.92148,133.92148,81593200,139.80678,-5.8852997,81059800.0,533400.0,137.40877,139.93268,-2.5239043,138.43245,144.34618,147.22205,-2.875876,143.52118,153.25949,155.49533,-2.2358391,150.45454,37.23899,-108952000.0,-8.611598,-17.67809,-25.03203,-7.520664,-5.291424,-2.2292404,37.63092,27.395655,-94.67104,11.891182,153.25949,178.40993,128.10904,-28.758759
2020-03-19,136.18213,143.22157,132.58607,136.1249,136.1249,85922700,133.92148,2.203415,81593200.0,4329500.0,138.10509,137.40877,0.69631654,137.66327,142.09889,144.34618,-2.247284,142.17636,151.27022,153.25949,-1.9892662,149.08301,40.987278,-23029300.0,2.6247706,-14.16971,-22.616835,-7.6727147,-5.7676854,-1.9050294,50.891163,43.839127,-49.652416,11.853026,151.27022,175.1382,127.40224,-22.47284
2020-03-20,139.26309,140.31235,129.59099,131.01224,131.01224,84866200,136.1249,-5.1126556,85922700.0,-1056500.0,134.00732,138.10509,-4.09776,135.44626,139.78865,142.09889,-2.3102372,140.14648,149.30338,151.27022,-1.9668496,147.3542,36.196594,-107895500.0,-13.523868,-14.990384,-23.091969,-8.106086,-6.2353683,-1.8707172,15.399971,34.640686,-74.54251,11.875513,149.30338,173.03427,125.57247,-23.102371
2020-03-23,130.6879,134.08365,126.40509,129.70543,129.70543,78975200,131.01224,-1.3068085,84866200.0,-5891000.0,134.11417,134.00732,0.10683899,133.53264,138.3922,139.78865,-1.3964478,138.24808,147.63841,149.30338,-1.6649574,145.6665,37.094173,-186870700.0,0.41355565,-9.719834,-20.428352,-8.455815,-6.67946,-1.7763559,19.625603,28.638912,-99.97446,11.555971,147.63841,171.98634,123.29048,-13.964478
2020-03-24,137.1169,142.69698,134.75134,141.4951,141.4951,82516700,129.70543,11.789673,78975200.0,3541500.0,134.45183,134.11417,0.33766478,136.1868,137.19225,138.3922,-1.1999527,138.83846,146.69743,147.63841,-0.9409798,145.26776,44.70843,-104354000.0,1.2076124,-7.817555,-11.739158,-7.7044635,-6.8844614,-0.82000196,92.622894,42.54949,33.79253,12.062199,146.69743,170.42947,122.96539,-11.999527
2020-03-25,142.03882,147.20872,137.77509,140.14064,140.14064,75638200,141.4951,-1.3544617,82516700.0,-6878500.0,135.69566,134.45183,1.2438323,137.50475,136.55222,137.19225,-0.640036,139.07523,145.58858,146.69743,-1.1088569,144.77783,48.397995,-179992200.0,4.643887,-4.3676243,-13.662791,-7.134734,-6.934516,-0.2002183,66.024765,59.42442,89.893974,12.383103,145.58858,168.29796,122.87919,-6.40036
2020-03-26,141.55232,149.4312,141.52371,148.90657,148.90657,64568100,140.14064,8.76593,75638200.0,-11070100.0,138.252,135.69566,2.5563354,141.30536,138.17854,136.55222,1.626326,140.86275,145.48985,145.58858,-0.09872284,145.17223,47.897175,-115424100.0,9.389669,12.260897,-1.3086183,-5.9151955,-6.7306514,0.81545615,96.42623,85.02463,126.27133,12.3469925,145.48985,168.11938,122.86031,16.26326
2020-03-27,144.74773,147.74283,142.31538,142.79231,142.79231,57042300,148.90657,-6.114258,64568100.0,-7525800.0,140.60802,138.252,2.356015,141.80101,137.30766,138.17854,-0.8708725,141.21358,144.90276,145.48985,-0.58710253,144.94495,48.26856,-172466400.0,8.991584,-5.748294,-7.5983424,-5.3752503,-6.4595704,1.0843205,43.043785,68.49826,102.315575,12.029499,144.90276,167.15033,122.65517,-8.708725
2020-03-30,145.40591,153.18939,143.08804,152.83646,152.83646,63420300,142.79231,10.044144,57042300.0,6378000.0,145.23422,140.60802,4.6262054,145.47949,139.6742,137.30766,2.3665223,143.32684,144.30373,144.90276,-0.5990219,145.69838,59.671074,-109046100.0,17.833508,18.320814,-7.268938,-4.0970354,-5.987063,1.8900273,96.97457,78.814865,136.7393,12.062887,144.30373,164.8757,123.73175,23.665222
2020-03-31,152.04474,157.1765,149.3358,150.43274,150.43274,77927200,152.83646,-2.403717,63420300.0,14506900.0,147.02174,145.23422,1.7875274,147.13057,140.73679,139.6742,1.0625961,144.61884,143.97942,144.30373,-0.3243103,146.15028,49.39264,-186973300.0,6.3165703,7.600462,-4.1334753,-3.2390733,-5.437464,2.198391,54.621445,64.87994,126.56209,11.95728,143.97942,163.90848,124.05035,10.625961
2020-04-01,145.9401,150.4709,143.86069,145.09116,145.09116,57969900,150.43274,-5.3415833,77927200.0,-19957300.0,148.01184,147.02174,0.9901031,146.45076,141.85376,140.73679,1.1169678,144.70471,143.09996,143.97942,-0.879454,146.04921,61.21793,-244943200.0,3.532534,8.340467,-10.8120575,-2.9527526,-4.9405212,1.9877688,14.218138,55.271385,50.238106,11.404043,143.09996,161.00375,125.19617,11.169678
